----------------------------------------------------------------------------------- 
 => ion # 1
 r           dlntdr_s    dlnndr_s    tem_s       den_s       alpha_s     (null)      
 4.6484E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.6680E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.6875E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.7070E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.7266E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.7461E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.7656E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.7852E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.8047E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.8242E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.8438E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.8633E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.8828E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.9023E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.9219E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.9414E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.9609E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 4.9805E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.0000E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.0195E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.0391E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.0586E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.0781E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.0977E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.1172E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.1367E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.1562E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.1758E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.1953E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.2148E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.2344E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.2539E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.2734E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.2930E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.3125E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.3320E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.3516E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.3711E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.3906E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.4102E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.4297E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.4492E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.4688E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.4883E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.5078E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.5273E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.5469E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.5664E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.5859E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.6055E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.6250E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.6445E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.6641E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.6836E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.7031E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.7227E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.7422E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.7617E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.7812E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.8008E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.8203E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.8398E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.8594E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.8789E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.8984E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.9180E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.9375E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.9570E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.9766E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 5.9961E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 6.0156E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 6.0352E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 6.0547E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 6.0742E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 6.0938E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 6.1133E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 6.1328E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 6.1523E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 6.1719E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 6.1914E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 6.2109E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
 6.2305E-01  3.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00
----------------------------------------------------------------------------------- 
 => Geometry
 r           q_s         shat_s      kappa_s     s_kappa_s   delta_s     s_delta_s   
----------------------------------------------------------------------------------- 
 3.7500E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 3.7695E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 3.7891E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 3.8086E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 3.8281E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 3.8477E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 3.8672E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 3.8867E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 3.9062E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 3.9258E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 3.9453E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 3.9648E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 3.9844E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.0039E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.0234E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.0430E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.0625E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.0820E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.1016E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.1211E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.1406E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.1602E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.1797E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.1992E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.2188E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.2383E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.2578E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.2773E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.2969E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.3164E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.3359E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.3555E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.3750E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.3945E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.4141E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.4336E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.4531E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.4727E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.4922E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.5117E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.5312E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.5508E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.5703E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.5898E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.6094E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.6289E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.6484E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.6680E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.6875E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.7070E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.7266E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.7461E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.7656E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.7852E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.8047E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.8242E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.8438E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.8633E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.8828E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.9023E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.9219E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.9414E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.9609E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.9805E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.0000E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.0195E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.0391E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.0586E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.0781E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.0977E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.1172E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.1367E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.1562E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.1758E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.1953E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.2148E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.2344E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.2539E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.2734E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.2930E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.3125E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.3320E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.3516E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.3711E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.3906E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.4102E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.4297E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.4492E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.4688E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.4883E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.5078E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.5273E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.5469E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.5664E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.5859E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.6055E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.6250E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.6445E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.6641E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.6836E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.7031E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.7227E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.7422E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.7617E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.7812E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.8008E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.8203E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.8398E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.8594E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.8789E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.8984E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.9180E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.9375E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.9570E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.9766E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 5.9961E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 6.0156E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 6.0352E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 6.0547E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 6.0742E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 6.0938E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 6.1133E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 6.1328E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 6.1523E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 6.1719E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 6.1914E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 6.2109E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 6.2305E-01  2.0000E+00  1.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
----------------------------------------------------------------------------------- 
 => Geometry
 r           R/r         drmaj_s     b_unit_s    beta_unit_s rhosda_s    (null)      
----------------------------------------------------------------------------------- 
 3.7500E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 3.7695E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 3.7891E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 3.8086E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 3.8281E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 3.8477E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 3.8672E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 3.8867E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 3.9062E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 3.9258E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 3.9453E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 3.9648E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 3.9844E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 4.0039E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 4.0234E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 4.0430E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 4.0625E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 4.0820E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 4.1016E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 4.1211E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 4.1406E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 4.1602E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 4.1797E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 4.1992E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 4.2188E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 4.2383E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 4.2578E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 4.2773E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 4.2969E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 4.3164E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
 4.3359E-01  6.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  2.5000E-03  0.0000E+00
